"Titulo","Valor","Link"
"PlayStation 4 500 gb ","R$ 1.700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-500-gb-821447019"
"Controle de playstation 4 classico","R$ 350","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-de-playstation-4-classico-694991781"
"Playstation 4 slim 1tb","R$ 2.500","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-757494167"
"Vendo, Playstation 2 zerado","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/vendo-playstation-2-zerado-820658504"
"PlayStation 4 41 jogos","R$ 999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-41-jogos-809711556"
"Jogo Minecraft PlayStation 4, troco pelo Minecrsft PlayStation 3","R$ 1","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogo-minecraft-playstation-4-troco-pelo-minecrsft-playstation-3-819713916"
"PlayStation 3 + 12 jogos ","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-12-jogos-821471886"
"Coleção battlefield PlayStation ","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/colecao-battlefield-playstation-819819761"
"Playstation 3 Slin","R$ 700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slin-819818722"
"Jogos de Playstation 3","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/jogos-de-playstation-3-812999242"
"Jogos Playstation 1 todos ps1","R$ 5","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/jogos-playstation-1-todos-ps1-820757543"
"Playstation 3","R$ 600","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-819125149"
"PlayStation 3,4 ( loja Srgames)","R$ 1.700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-4-loja-srgames-817403258"
"Trilogia GTA Playstation 2","R$ 299","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/trilogia-gta-playstation-2-811214088"
"Playstation Retrô Com 2 Controles","R$ 1.099","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-retro-com-2-controles-820369326"
"PLAYSTATION 4 PRO E JOGOS","R$ 2.800","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-pro-e-jogos-820040823"
"Playstation 4 slim 1TB ","R$ 1.900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1tb-820190007"
"Playstation 1 slim (Psone)","R$ 300","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/playstation-1-slim-psone-820185655"
"Playstation 2 com um controle + Memory Cards","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-com-um-controle-memory-cards-821658135"
"Playstation 2 com um controle + Memory Cards","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-com-um-controle-memory-cards-821658135"
"Playstation 2 desbloqueado, vir buscar!","R$ 280","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-desbloqueado-vir-buscar-821618484"
"Playstation 4 com controle e 5 jogos","R$ 1.900","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/playstation-4-com-controle-e-5-jogos-817230331"
"PlayStation VR Óculos de Realidade Virtual","R$ 1.580","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-vr-oculos-de-realidade-virtual-818136059"
"Controle seminovo de playstation 4 original","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-seminovo-de-playstation-4-original-772176828"
"playstation 2 desbloqueado slim","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-desbloqueado-slim-819918685"
"Playstation 3 Bloqueado Última versão","R$ 700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-bloqueado-ultima-versao-821457847"
"PS4 - Playstation 4","R$ 1.750","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/ps4-playstation-4-819479485"
"Playstation 2 + jogos d brinde","R$ 300","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-jogos-d-brinde-821407744"
"Farcry 4 para playstation 4","R$ 60","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/farcry-4-para-playstation-4-731417840"
"Kit move camera e bastão de playstation","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/kit-move-camera-e-bastao-de-playstation-743606786"
"Playstation 3 (24 jogos na memória)","R$ 650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-24-jogos-na-memoria-821320326"
"PlayStation  4 1 TB Slin ","R$ 2.300","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-1-tb-slin-821508968"
"PlayStation 3 original ","R$ 1.099","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-original-819473392"
"Playstation 4 Slim 1 TB","R$ 2.249","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1-tb-818894982"
"Playstation 4 Slim 1 Tb","R$ 1.701","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-slim-1-tb-821192692"
"Playstation 2 com 2 Controles Originais","R$ 200","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-com-2-controles-originais-821009541"
"Control Playstation 4 original sony","R$ 400","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/control-playstation-4-original-sony-774380425"
"Crysis 2 para playstation 3","R$ 50","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/crysis-2-para-playstation-3-743928961"
"Vendo Playstation 2 s/controles","R$ 100","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/vendo-playstation-2-s-controles-820903365"
"Controle para Playstation 4 Sony","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-para-playstation-4-sony-797838737"
"Playstation 3 500gb com 1 controle","R$ 900","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-500gb-com-1-controle-726265933"
"Playstation 3 Slim - 500Gb ","R$ 799","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slim-500gb-819839805"
"PlayStation 4 Pro/ PS4 Pro","R$ 2.500","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-4-pro-ps4-pro-818415261"
"PlayStation 3 slim extremamente novo","R$ 1.000","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-slim-extremamente-novo-820464983"
"Red Dead Redemptiom de playstation 3","R$ 80","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/red-dead-redemptiom-de-playstation-3-772584164"
"Ps3 (Playstation 3 novo)","R$ 650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/ps3-playstation-3-novo-819761607"
"Playstation 2 por bike","R$ 299","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-2-por-bike-819287398"
"Playstation 5 NOVO LACRADO","R$ 8.000","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/playstation-5-novo-lacrado-819725448"
"Playstation 3 (PS3 barbada)","R$ 700","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-ps3-barbada-819660946"
"Vendo PlayStation 3 R$650.00","R$ 650","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/vendo-playstation-3-r-650-00-820382546"
"Controles originais de PlayStation 4","R$ 199","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controles-originais-de-playstation-4-819620140"
"PlayStation 4, 1TB + GARANTIA!!","R$ 1.899","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-1tb-garantia-819608867"
"Controle Playstation 4","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-4-796500541"
